3574016150.269000	2.225729	2.225865	2.226151	2.226034	2.226066	2.226245	2.225731	2.226033	2.208208
3574016150.768000	2.225711	2.225858	2.226149	2.226001	2.226025	2.226235	2.225731	2.226054	2.208522
3574016151.269000	2.225706	2.225885	2.226157	2.225970	2.226057	2.226179	2.225722	2.226050	2.208260
3574016151.769000	2.225680	2.225881	2.226155	2.226000	2.226038	2.226197	2.225706	2.226066	2.208163
3574016152.270000	2.225717	2.225826	2.226160	2.226074	2.226098	2.226209	2.225749	2.226067	2.209132
3574016152.769000	2.225725	2.225822	2.226157	2.226024	2.226070	2.226232	2.225715	2.226020	2.208732
3574016153.270000	2.225680	2.225867	2.226100	2.226000	2.226045	2.226200	2.225676	2.226033	2.208529
3574016153.769000	2.225685	2.225878	2.226112	2.226034	2.226056	2.226211	2.225679	2.225998	2.208503
3574016154.270000	2.225694	2.225889	2.226139	2.226061	2.226078	2.226263	2.225715	2.226072	2.208971
3574016154.769000	2.225679	2.225875	2.226133	2.225990	2.226037	2.226232	2.225715	2.225996	2.208658
3574016155.269000	2.225720	2.225843	2.226113	2.226028	2.226038	2.226227	2.225698	2.226037	2.208440
3574016155.768000	2.225711	2.225848	2.226161	2.226022	2.226067	2.226226	2.225709	2.226046	2.208325
3574016156.269000	2.225706	2.225889	2.226076	2.225983	2.226057	2.226246	2.225689	2.226018	2.208335
3574016156.768000	2.225700	2.225868	2.226155	2.225993	2.226019	2.226187	2.225716	2.225991	2.208298
3574016157.269000	2.225635	2.225842	2.226056	2.225976	2.226088	2.226204	2.225680	2.226075	2.208220
3574016157.769000	2.225736	2.225825	2.226152	2.226035	2.226051	2.226254	2.225714	2.226006	2.208478
3574016158.269000	2.225678	2.225858	2.226158	2.226045	2.226041	2.226225	2.225676	2.226056	2.208373
3574016158.768000	2.225708	2.225846	2.226162	2.225951	2.225992	2.226237	2.225710	2.226075	2.208231
3574016159.268000	2.225716	2.225897	2.226094	2.226041	2.226030	2.226198	2.225695	2.226012	2.208480
3574016159.769000	2.225747	2.225859	2.226107	2.226004	2.226030	2.226214	2.225721	2.226011	2.208219
3574016160.269000	2.225708	2.225869	2.226129	2.225974	2.226040	2.226254	2.225671	2.225993	2.208283
3574016160.769000	2.225652	2.225801	2.226124	2.226035	2.226050	2.226286	2.225714	2.226009	2.208395
3574016161.269000	2.225715	2.225818	2.226161	2.226059	2.226109	2.226251	2.225737	2.226060	2.208441
3574016161.768000	2.225705	2.225857	2.226146	2.226057	2.226040	2.226221	2.225640	2.226044	2.208521
3574016162.269000	2.225693	2.225826	2.226142	2.226006	2.226068	2.226218	2.225692	2.225991	2.208529
3574016162.768000	2.225653	2.225850	2.226131	2.225965	2.226048	2.226273	2.225689	2.226046	2.208419
3574016163.268000	2.225678	2.225828	2.226077	2.225972	2.226056	2.226253	2.225713	2.225983	2.208589
3574016163.769000	2.225666	2.225811	2.226137	2.226014	2.226041	2.226189	2.225687	2.225969	2.208469
3574016164.270000	2.225689	2.225871	2.226137	2.225958	2.226074	2.226227	2.225634	2.225988	2.208469
3574016164.769000	2.225713	2.225833	2.226119	2.225970	2.226043	2.226257	2.225689	2.226019	2.208840
3574016165.269000	2.225680	2.225857	2.226107	2.226046	2.225983	2.226219	2.225694	2.225967	2.208678
3574016165.769000	2.225630	2.225876	2.226096	2.225996	2.226023	2.226245	2.225705	2.226016	2.208463
3574016166.270000	2.225690	2.225839	2.226119	2.225993	2.226077	2.226220	2.225674	2.225959	2.208583
3574016166.769000	2.225706	2.225833	2.226099	2.225961	2.226034	2.226236	2.225688	2.226006	2.208564
3574016167.269000	2.225666	2.225821	2.226145	2.225938	2.226019	2.226249	2.225689	2.225953	2.208557
3574016167.769000	2.225708	2.225881	2.226131	2.226001	2.226039	2.226249	2.225711	2.226033	2.208554
3574016168.268000	2.225684	2.225849	2.226184	2.226018	2.226063	2.226248	2.225700	2.226012	2.208854
3574016168.768000	2.225689	2.225809	2.226113	2.225991	2.226062	2.226190	2.225706	2.225955	2.208733
3574016169.269000	2.225708	2.225858	2.226119	2.225981	2.226060	2.226198	2.225627	2.225998	2.208419
3574016169.769000	2.225693	2.225799	2.226139	2.226019	2.226051	2.226266	2.225679	2.226004	2.208570
3574016170.269000	2.225722	2.225834	2.226108	2.225928	2.226078	2.226208	2.225685	2.225969	2.208530
3574016170.769000	2.225689	2.225805	2.226108	2.226012	2.226075	2.226208	2.225685	2.226013	2.208478
3574016171.270000	2.225679	2.225844	2.226114	2.226002	2.226061	2.226226	2.225697	2.226013	2.208335
3574016171.769000	2.225658	2.225838	2.226120	2.226014	2.226065	2.226197	2.225717	2.226023	2.208558
3574016172.269000	2.225672	2.225864	2.226131	2.226023	2.226027	2.226183	2.225678	2.225997	2.208583
3574016172.769000	2.225674	2.225849	2.226134	2.225959	2.226048	2.226199	2.225678	2.225988	2.208492
3574016173.268000	2.225668	2.225848	2.226098	2.226004	2.226016	2.226208	2.225635	2.225977	2.208420
3574016173.769000	2.225663	2.225843	2.226130	2.226003	2.226008	2.226229	2.225657	2.225980	2.208657
3574016174.268000	2.225677	2.225820	2.226071	2.225971	2.226017	2.226162	2.225646	2.225995	2.208443
3574016174.768000	2.225710	2.225820	2.226150	2.226013	2.226040	2.226218	2.225647	2.225971	2.208416
3574016175.268000	2.225724	2.225863	2.226133	2.226041	2.226072	2.226254	2.225679	2.225995	2.208597
3574016175.769000	2.225652	2.225806	2.226146	2.225953	2.226008	2.226213	2.225661	2.225972	2.208792
3574016176.271000	2.225650	2.225789	2.226123	2.225980	2.226025	2.226219	2.225667	2.225960	2.208310
3574016176.772000	2.225678	2.225892	2.226129	2.225980	2.225985	2.226183	2.225645	2.226034	2.208628
3574016177.269000	2.225629	2.225849	2.226156	2.225985	2.226034	2.226199	2.225640	2.225905	2.208778
3574016177.769000	2.225673	2.225799	2.226129	2.225972	2.226079	2.226233	2.225667	2.225946	2.208531
3574016178.269000	2.225672	2.225832	2.226087	2.225961	2.226112	2.226166	2.225664	2.225965	2.208557
3574016178.769000	2.225693	2.225933	2.226103	2.226059	2.226046	2.226157	2.225692	2.226043	2.209144
3574016179.271000	2.225683	2.225854	2.226098	2.225993	2.226046	2.226261	2.225639	2.226008	2.208479
