3574529756.686000	2.196681	0.000519	2.196854	0.000499	2.197293	0.000564	2.230352	0.000527
3574529757.190000	2.196657	0.000493	2.197039	0.000496	2.197656	0.000539	2.230325	0.000512
3574529757.691000	2.196701	0.000499	2.197028	0.000512	2.197724	0.000490	2.230365	0.000509
3574529758.190000	2.196720	0.000550	2.197000	0.000535	2.197684	0.000551	2.230332	0.000501
3574529758.691000	2.196638	0.000529	2.197008	0.000465	2.197604	0.000509	2.230326	0.000533
3574529759.191000	2.196702	0.000498	2.197021	0.000520	2.197623	0.000502	2.230318	0.000538
3574529759.690000	2.196645	0.000529	2.197029	0.000522	2.197627	0.000494	2.230362	0.000509
3574529760.190000	2.196696	0.000481	2.197027	0.000544	2.197527	0.000443	2.230330	0.000486
3574529760.690000	2.196668	0.000528	2.196950	0.000481	2.197550	0.000525	2.230341	0.000487
3574529761.190000	2.196638	0.000509	2.197060	0.000515	2.197609	0.000522	2.230324	0.000480
3574529761.690000	2.196704	0.000455	2.197032	0.000444	2.197572	0.000536	2.230283	0.000523
3574529762.191000	2.196651	0.000555	2.197028	0.000508	2.197613	0.000493	2.230310	0.000531
3574529762.690000	2.196726	0.000450	2.196984	0.000462	2.197516	0.000511	2.230315	0.000546
3574529763.190000	2.196659	0.000535	2.197007	0.000509	2.197540	0.000487	2.230286	0.000492
3574529763.691000	2.196737	0.000465	2.197037	0.000491	2.197657	0.000545	2.230289	0.000485
3574529764.190000	2.196728	0.000524	2.196961	0.000511	2.197532	0.000512	2.230281	0.000539
3574529764.685000	2.196695	0.000512	2.197049	0.000503	2.197345	0.000529	2.230245	0.000513
3574529765.190000	2.196689	0.000523	2.197040	0.000420	2.197497	0.000496	2.230290	0.000508
3574529765.691000	2.196632	0.000507	2.197036	0.000477	2.197584	0.000517	2.230237	0.000481
3574529766.191000	2.196681	0.000509	2.197044	0.000466	2.197574	0.000498	2.230237	0.000515
3574529766.690000	2.196669	0.000512	2.196992	0.000520	2.197532	0.000475	2.230194	0.000529
3574529767.191000	2.196681	0.000487	2.196994	0.000551	2.197566	0.000486	2.230197	0.000498
3574529767.691000	2.196721	0.000486	2.196982	0.000490	2.197654	0.000543	2.230177	0.000507
3574529768.190000	2.196735	0.000530	2.196982	0.000512	2.197509	0.000506	2.230177	0.000535
3574529768.691000	2.196719	0.000480	2.197053	0.000467	2.197626	0.000493	2.230178	0.000514
3574529769.190000	2.196779	0.000561	2.196995	0.000470	2.197519	0.000513	2.230152	0.000524
3574529769.690000	2.196749	0.000550	2.196973	0.000518	2.197537	0.000492	2.230102	0.000501
3574529770.191000	2.196710	0.000466	2.197037	0.000522	2.197632	0.000522	2.230122	0.000491
3574529770.691000	2.196689	0.000534	2.197090	0.000538	2.197518	0.000483	2.230096	0.000529
3574529771.190000	2.196727	0.000519	2.197028	0.000478	2.197547	0.000509	2.230072	0.000508
3574529771.691000	2.196772	0.000470	2.196995	0.000488	2.197568	0.000529	2.230064	0.000530
3574529772.186000	2.196710	0.000487	2.197021	0.000487	2.197347	0.000508	2.230017	0.000465
3574529772.691000	2.196753	0.000518	2.196991	0.000467	2.197553	0.000504	2.230082	0.000490
3574529773.191000	2.196699	0.000481	2.197016	0.000518	2.197669	0.000560	2.230033	0.000504
3574529773.691000	2.196721	0.000490	2.197090	0.000518	2.197581	0.000503	2.229998	0.000502
3574529774.190000	2.196747	0.000475	2.197015	0.000493	2.197573	0.000470	2.229987	0.000487
3574529774.691000	2.196727	0.000464	2.197063	0.000485	2.197586	0.000507	2.229992	0.000503
